datetime,open,high,low,close,volume
2024-05-10,154.28999,156.37,151.31,151.92,37603000
2024-05-09,153.13,154.09,150.61,152.39,33018000
2024-05-08,153.39999,155.33,152.52,153.62,28728000
2024-05-07,156.32001,157.7,153.66,154.42999,37374900
2024-05-06,153.10001,156.64999,151.25999,155.78,44624500
2024-05-03,148.75,150.78999,147.24001,150.60001,49361100
2024-05-02,145.50999,147.62,141.16,146.16,50034700
2024-05-01,148.11,151.37,142.14,144.27,89413200
2024-04-30,160.63,162.28999,158.35001,158.38,60742800
2024-04-29,159.08,160.77,156.25999,160.2,43478200
2024-04-26,154.24001,158.63,153.42999,157.39999,42510700
2024-04-25,149.14999,155.14,146.75,153.75999,41471400
2024-04-24,156.56,157.66,150.63,151.74001,43412600
2024-04-23,151.64999,153.5,150.35001,152.27,46051900
2024-04-22,148.14999,149.89,145.63,148.64,49397000
2024-04-19,151.59,154.25,145.28999,146.64,71232500
2024-04-18,155.50999,156.96001,152.32001,155.08,52669800
2024-04-17,163.97,164.45,153.88,154.02,75909000
2024-04-16,162.28,164.88,161.67,163.46001,55302100
2024-04-15,164.42999,164.44,158.75999,160.32001,61461200
2024-04-12,164.53,165.7,161.82001,163.28,63334200
2024-04-11,167.55,170.95,166.55,170.5,48994500
2024-04-10,166.71001,169.78,164.0,167.14,59600000
2024-04-09,170.21001,171.60001,167.28999,170.78,42928000
2024-04-08,168.2,171.66,166.82001,169.89999,43997500
2024-04-05,168.10001,172.69,165.58,170.42,66025200
2024-04-04,182.92,183.02,165.64999,165.83,88280000
2024-04-03,177.53999,182.05,176.7,180.77,49835100
2024-04-02,179.47,180.10001,174.83,178.7,61598800
2024-04-01,180.10001,187.24001,179.89999,183.34,74299900
2024-03-28,179.47,183.39999,178.3,180.49001,57628600
2024-03-27,179.96001,181.23,175.39999,179.59,55685600
2024-03-26,179.53999,182.60001,176.33,177.87,65322400
2024-03-25,172.89999,182.8,172.0,178.63,71935300
2024-03-22,177.21001,180.75999,175.05,179.64999,57832100
2024-03-21,185.97,187.69,177.66,178.67999,75265600
2024-03-20,182.03,182.67999,174.0,179.73,81773100
2024-03-19,183.16,185.61,177.36,181.42,83509500
