datetime,open,high,low,close,volume
2024-05-10,189.16,189.89,186.92999,187.48,34121700
2024-05-09,188.88,191.7,187.44,189.5,43368400
2024-05-08,187.44,188.42999,186.39,188.0,26136400
2024-05-07,188.92,189.94,187.31,188.75999,34048900
2024-05-06,186.28,188.75,184.8,188.7,34725300
2024-05-03,186.99001,187.87,185.42,186.21001,39172000
2024-05-02,180.85001,185.10001,179.91,184.72,54303500
2024-05-01,181.64,185.14999,176.56,179.0,94645100
2024-04-30,181.09,182.99001,174.8,175.0,94639800
2024-04-29,182.75,183.53,179.39,180.96001,54063900
2024-04-26,177.8,180.82001,176.13,179.62,43919800
2024-04-25,169.67999,173.92,166.32001,173.67,49249400
2024-04-24,179.94,180.32001,176.17999,176.59,34185100
2024-04-23,178.08,179.92999,175.98,179.53999,37046500
2024-04-22,176.94,178.87,174.56,177.23,37924900
2024-04-19,178.74001,179.0,173.44,174.63,55950000
2024-04-18,181.47,182.39,178.64999,179.22,30723800
2024-04-17,184.31,184.57001,179.82001,181.28,31359700
2024-04-16,183.27,184.83,182.25999,183.32001,32891300
2024-04-15,187.42999,188.69,183.0,183.62,48052400
2024-04-12,187.72,188.38,185.08,186.13,38554300
2024-04-11,186.74001,189.77,185.50999,189.05,40020700
2024-04-10,182.77,186.27,182.67,185.95,35879200
2024-04-09,187.24001,187.34,184.2,185.67,36546900
2024-04-08,186.89999,187.28999,184.81,185.19,39221300
2024-04-05,182.38,186.27,181.97,185.07001,42335200
2024-04-04,184.0,185.10001,180.0,180.0,41624300
2024-04-03,179.89999,182.87,179.8,182.41,31046600
2024-04-02,179.07001,180.78999,178.38,180.69,32611500
2024-04-01,180.78999,183.0,179.95,180.97,29174500
2024-03-28,180.17,181.7,179.25999,180.38,38051600
2024-03-27,179.88,180.0,177.31,179.83,33272600
2024-03-26,180.14999,180.45,177.95,178.3,29659000
2024-03-25,178.00999,180.99001,177.24001,179.71001,29815500
2024-03-22,177.75,179.25999,176.75,178.87,27964100
2024-03-21,179.99001,181.42,178.14999,178.14999,32824300
2024-03-20,176.14,178.53,174.64,178.14999,29947200
2024-03-19,174.22,176.09,173.52,175.89999,26880900
2024-03-18,175.8,176.69,174.28,174.48,31250700
2024-03-15,176.64,177.92999,173.89999,174.42,72115500
2024-03-14,177.69,179.53,176.47,178.75,43705800
2024-03-13,175.89999,177.62,175.55,176.56,30772600
2024-03-12,173.5,176.75999,171.98,175.39,36610600
2024-03-11,174.31,174.47,171.47,171.96001,28484800
2024-03-08,176.44,178.78999,174.33,175.35001,37853500
2024-03-07,174.83,177.99001,173.72,176.82001,34063300
2024-03-06,175.53999,176.46001,173.25999,173.50999,32090900
2024-03-05,176.92999,176.92999,173.3,174.12,37228300
2024-03-04,177.53,180.14,177.49001,177.58,37381500
2024-03-01,176.75,178.73,176.07001,178.22,31956200
2024-02-29,173.00999,177.22,172.85001,176.75999,53805400
2024-02-28,172.44,174.05,172.27,173.16,28180500
2024-02-27,174.08,174.62,172.86,173.53999,31141700
2024-02-26,175.7,176.37,174.25999,174.73,44368600
2024-02-23,174.28,175.75,173.7,174.99001,59715200
2024-02-22,173.10001,174.8,171.77,174.58,55392400
2024-02-21,168.94,170.23,167.14,168.59,44575600
2024-02-20,167.83,168.71001,165.74001,167.08,41980300
2024-02-16,168.74001,170.42,167.17,169.50999,48074600
2024-02-15,170.58,171.17,167.59,169.8,49855200
2024-02-14,169.21001,171.21001,168.28,170.98,42815500
2024-02-13,167.73,170.95,165.75,168.64,56345100
2024-02-12,174.8,175.39,171.53999,172.34,51050400
2024-02-09,170.89999,175.0,170.58,174.45,56986000
2024-02-08,169.64999,171.42999,168.88,169.84,42316500
2024-02-07,169.48,170.88,168.94,170.53,47174100
2024-02-06,169.39,170.71001,167.64999,169.14999,42505500
2024-02-05,170.2,170.55,167.7,170.31,55081300
2024-02-02,169.19,172.5,167.33,171.81,117154900
2024-02-01,155.87,159.75999,155.62,159.28,76542400
2024-01-31,157.0,159.00999,154.81,155.2,50284400
2024-01-30,160.7,161.73,158.49001,159.0,45207400
2024-01-29,159.34,161.28999,158.89999,161.25999,45270400
2024-01-26,158.42,160.72,157.91,159.12,51047400
2024-01-25,156.95,158.50999,154.55,157.75,43638600
2024-01-24,157.8,158.50999,156.48,156.87,48547300
2024-01-23,154.85001,156.21001,153.92999,156.02,37986000
2024-01-22,156.89,157.05,153.89999,154.78,43687500
2024-01-19,153.83,155.75999,152.74001,155.34,51033700
2024-01-18,152.77,153.78,151.82001,153.5,37850200
2024-01-17,151.49001,152.14999,149.91,151.71001,34953400
2024-01-16,153.53,154.99001,152.14999,153.16,41384600
2024-01-12,155.39,156.2,154.00999,154.62,40460300
2024-01-11,155.03999,157.17,153.12,155.17999,49072700
2024-01-10,152.06,154.42,151.88,153.73,44421800
2024-01-09,148.33,151.71001,148.21001,151.37,43812600
2024-01-08,146.74001,149.39999,146.14999,149.10001,46757100
2024-01-05,144.69,146.59,144.53,145.24001,45124800
2024-01-04,145.59,147.38,144.05,144.57001,56039800
2024-01-03,149.2,151.05,148.33,148.47,49425500
2024-01-02,151.53999,152.38,148.39,149.92999,47339400
2023-12-29,153.10001,153.89,151.03,151.94,39789000
2023-12-28,153.72,154.08,152.95,153.38,27057000
2023-12-27,153.56,154.78,153.12,153.34,31434700
2023-12-26,153.56,153.98,153.03,153.41,25067200
2023-12-22,153.77,154.35001,152.71001,153.42,29480100
2023-12-21,153.3,153.97,152.10001,153.84,36305700
2023-12-20,152.89999,155.63,151.56,152.12,50322100
2023-12-19,154.39999,155.12,152.69,153.78999,43171300
2023-12-18,150.56,154.85001,150.05,154.07001,62512800
