datetime,open,high,low,close,volume
2024-05-10,168.03,169.85001,166.19,168.64999,29773300
2024-05-09,169.39,170.69,168.17999,169.96001,15346700
2024-05-08,169.0,170.14999,168.74001,169.38,19569100
2024-05-07,168.5,171.75999,168.39,171.25,28039700
2024-05-06,167.46001,168.14,166.03,168.10001,21871300
2024-05-03,167.56,167.96001,163.05,167.24001,34662400
2024-05-02,164.78999,166.73,163.89,166.62,24294500
2024-05-01,164.3,167.12,163.09,163.86,33493200
2024-04-30,165.61,168.10001,162.60001,162.78,33562900
2024-04-29,169.06,169.55,165.21001,166.14999,45610000
2024-04-26,174.37,174.71001,169.64999,171.95,64665300
2024-04-25,151.33,156.49001,150.87,156.0,57109700
2024-04-24,157.49001,159.57001,157.17,159.13,22779100
2024-04-23,156.96001,158.97,156.28,158.25999,21151600
2024-04-22,154.31,157.64,154.06,156.28,26446200
2024-04-19,156.2,156.36,152.3,154.09,32239100
2024-04-18,155.34,156.94,154.62,156.00999,19883000
2024-04-17,155.62,157.08,154.58,155.47,21763100
2024-04-16,154.19,155.64999,153.42999,154.39999,20779500
2024-04-15,158.86,159.24001,154.59,154.86,27136500
2024-04-12,157.96001,160.22,157.14,157.73,25329200
2024-04-11,156.91,159.67999,156.46001,159.41,27166400
2024-04-10,156.21001,156.61,154.67999,156.14,22838600
2024-04-09,156.09,158.56,155.19,156.60001,31113000
2024-04-08,152.78,155.27,152.61,154.85001,20702000
2024-04-05,150.03,153.42,149.60001,152.5,23449300
2024-04-04,153.5,154.77,150.45,150.53,34724700
2024-04-03,153.60001,155.08,152.73,154.92,24705000
2024-04-02,153.5,154.7,152.14999,154.56,24586000
2024-04-01,150.69,155.74001,150.61,155.49001,31730800
2024-03-28,150.85001,151.42999,150.17,150.92999,24485400
2024-03-27,151.17999,151.64,148.89999,150.87,22879200
2024-03-26,150.22,152.25999,149.98,150.67,22149100
2024-03-25,149.94,150.38,147.82001,150.07001,19229300
2024-03-22,149.12,151.58,148.98,150.77,29175700
2024-03-21,149.47,150.37,146.89999,147.60001,24755600
2024-03-20,148.0,148.86,146.74001,148.74001,21311500
2024-03-19,148.16,148.78999,146.08,147.03,24070400
2024-03-18,148.61,152.14999,147.17,147.67999,69273700
2024-03-15,142.5,143.17999,140.03,141.17999,49460600
2024-03-14,141.19,143.59,140.46001,143.10001,42753400
2024-03-13,139.0,141.09,138.99001,139.78999,23347200
2024-03-12,137.03,139.38,137.03,138.5,27563400
2024-03-11,136.13,139.10001,136.13,137.67,32437800
2024-03-08,134.21001,138.09,134.0,135.41,39343100
2024-03-07,132.78999,134.94,131.61,134.38,37738200
2024-03-06,133.12,133.58,130.85001,131.39999,35318600
2024-03-05,131.88,133.24001,130.67,132.67,40194800
2024-03-04,135.66,135.66,131.91,133.35001,55999400
2024-03-01,138.42999,138.87,136.92,137.14,31119500
2024-02-29,137.28,138.86,136.39999,138.46001,42133000
2024-02-28,137.89999,138.00999,135.41,136.38,37328600
2024-02-27,138.02,139.25,137.09,138.88,33099200
2024-02-26,142.14,142.44,137.39,137.57001,53641800
2024-02-23,143.67,144.67999,143.42999,143.96001,19493800
2024-02-22,144.92999,145.0,142.8,144.09,27191900
2024-02-21,141.45,142.69,140.67999,142.55,23315700
2024-02-20,139.66,142.08,139.49001,141.12,25144700
2024-02-16,142.99001,143.19,140.14,140.52,31451100
2024-02-15,143.14,143.52,140.46001,142.77,37590700
2024-02-14,146.08,146.52,144.09,145.94,22704200
2024-02-13,144.92,146.67,143.69,145.14,27837700
2024-02-12,148.42,149.34,147.37,147.53,21564100
2024-02-09,146.67999,149.44,146.17999,149.0,26829500
2024-02-08,145.83,146.33,145.10001,145.91,22563800
2024-02-07,144.75999,145.62,143.92999,145.53999,25208900
2024-02-06,144.64999,145.36,143.19,144.10001,29128200
2024-02-05,142.82001,145.47,142.78,143.67999,38505400
2024-02-02,139.25999,142.62,136.5,142.38,62470600
2024-02-01,142.12,143.06,140.78999,141.16,40466500
2024-01-31,143.62,144.0,139.87,140.10001,71910000
2024-01-30,152.8,153.62,151.19,151.46001,36331800
2024-01-29,152.06,153.78,151.42999,153.50999,27784300
2024-01-26,151.10001,152.53999,151.00999,152.19,26115500
2024-01-25,150.07001,153.05,149.53999,151.87,29149100
2024-01-24,148.53999,149.85001,148.10001,148.7,25233500
2024-01-23,145.89,147.17999,145.5,147.03999,21636100
2024-01-22,147.10001,148.39,145.84,145.99001,32200400
2024-01-19,144.74001,146.45,144.38,146.38,33300700
2024-01-18,142.05,144.21001,141.99001,143.48,25746400
2024-01-17,141.35001,141.84,138.89999,141.47,20968600
2024-01-16,142.0,144.35001,141.45,142.49001,22670500
2024-01-12,142.67,143.2,141.82001,142.64999,18768600
2024-01-11,143.49001,145.22,140.64,142.08,24008700
2024-01-10,141.0,143.0,140.91,142.28,21320200
2024-01-09,138.5,141.49001,138.14999,140.95,24759600
2024-01-08,136.28999,139.00999,136.25999,138.84,21404000
2024-01-05,136.75,137.16,135.14999,135.73,22506000
2024-01-04,138.42,139.16,136.35001,136.39,27137700
2024-01-03,137.25,139.63,137.08,138.92,24212100
2024-01-02,138.55,139.45,136.48,138.17,23711200
2023-12-29,139.63,140.36,138.78,139.69,18727200
2023-12-28,140.78,141.14,139.75,140.23,16045700
2023-12-27,141.59,142.08,139.89,140.37,19628600
2023-12-26,141.59,142.67999,141.19,141.52,16780300
2023-12-22,140.77,141.99001,140.71001,141.49001,26514600
2023-12-21,139.49001,140.69,139.17999,140.42,27488300
2023-12-20,138.97,141.7,138.07001,138.34,49107200
2023-12-19,136.84,137.47,136.08,136.64999,25476800
2023-12-18,132.63,137.14999,132.42999,135.8,32258000
