datetime,open,high,low,close,volume
2024-05-10,177.95,180.16,177.61,179.78999,4201600
2024-05-09,177.25999,178.42999,177.09,178.06,2421400
2024-05-08,178.71001,178.88,177.19,177.41,3400900
2024-05-07,177.0,178.14999,176.50999,178.02,3708000
2024-05-06,176.75999,176.75999,175.13,175.82001,3576200
2024-05-03,175.8,176.49001,175.0,176.14999,3491900
2024-05-02,175.58,176.32001,174.55,175.45,3964800
2024-05-01,175.46001,176.23,173.66,175.14999,4340500
2024-04-30,176.27,176.47,174.84,175.91,4465100
2024-04-29,175.5,176.32001,175.02,176.14,3224500
2024-04-26,174.44,178.57001,174.34,175.58,4472100
2024-04-25,178.28,180.63,175.82001,176.67999,7441500
2024-04-24,168.5,178.09,167.64999,177.41,10016700
2024-04-23,174.7,174.88,170.14,171.22,9145000
2024-04-22,174.41,177.2,174.03,176.46001,7288700
2024-04-19,172.28,174.27,171.8,174.13,6636400
2024-04-18,170.10001,172.67999,170.10001,172.27,5574700
2024-04-17,169.09,169.7,168.21001,169.48,4069200
2024-04-16,167.03,168.50999,166.89,167.5,4569700
2024-04-15,169.21001,169.35001,166.03,166.95,5133200
2024-04-12,167.69,168.50999,167.32001,168.10001,5453500
2024-04-11,169.62,169.87,167.77,168.36,4241500
2024-04-10,169.57001,169.63,167.77,168.95,4581500
2024-04-09,170.23,170.72,168.73,170.61,3774300
2024-04-08,169.14999,170.05,168.74001,169.58,3755700
2024-04-05,169.39999,169.97,168.07001,169.14,4412200
2024-04-04,170.92,171.78,169.33,169.64999,5422600
2024-04-03,170.0,170.92,168.7,169.67999,5828000
2024-04-02,172.94,173.87,171.36,171.44,5158500
2024-04-01,175.57001,176.23,172.64999,172.98,4815400
2024-03-28,174.75999,175.81,174.37,175.00999,5710400
2024-03-27,174.0,174.69,173.05,173.57001,4911300
2024-03-26,172.17,172.97,171.82001,172.73,4593000
2024-03-25,172.2,173.09,172.11,172.60001,3941900
2024-03-22,173.02,173.10001,171.75999,172.02,4106400
2024-03-21,171.92,173.42,171.05,172.45,4343000
2024-03-20,172.3,173.10001,171.12,171.86,5046700
2024-03-19,171.10001,172.64999,171.0,171.8,7653700
2024-03-18,167.05,172.17999,166.95,171.25999,10478500
2024-03-15,165.06,165.38,163.64,164.66,21881200
2024-03-14,166.25999,166.25999,164.2,164.78,5155300
2024-03-13,165.10001,166.14,164.74001,165.3,4585800
2024-03-12,165.14,165.42,163.96001,164.53999,6158500
2024-03-11,163.92,165.42,163.31,164.73,5404800
2024-03-08,162.32001,164.2,162.09,163.05,6063100
2024-03-07,163.82001,163.89999,162.5,163.11,5801600
2024-03-06,162.06,163.99001,162.03999,163.0,5302500
2024-03-05,165.22,165.5,161.81,162.03999,6631300
2024-03-04,164.45,165.64999,163.60001,165.37,4303700
2024-03-01,164.86,165.0,163.25,164.59,6109200
2024-02-29,166.21001,166.67999,164.91,165.34,8489400
2024-02-28,168.12,168.5,166.45,167.03,5275300
2024-02-27,167.82001,168.22,167.35001,168.16,3567600
2024-02-26,169.42,169.42,167.71001,168.25999,3837000
2024-02-23,167.94,170.25,167.8,169.60001,6409800
2024-02-22,167.64,168.83,166.10001,168.25,7539200
2024-02-21,169.95,170.17999,167.86,168.83,4195400
2024-02-20,167.74001,169.52,167.19,168.64999,6117900
2024-02-16,167.21001,167.41,165.67999,166.32001,5245300
2024-02-15,167.95,168.37,166.67999,167.86,4451400
2024-02-14,168.34,168.64,166.06,167.52,5731900
2024-02-13,171.22,171.45,167.24001,168.88,7302000
2024-02-12,167.86,171.07001,167.2,170.61,7867500
2024-02-09,171.2,171.39,166.97,167.67,12731700
2024-02-08,171.72,174.10001,171.41,173.85001,9269700
2024-02-07,172.63,172.89999,171.38,171.47,5769700
2024-02-06,171.45,171.83,169.94,171.42,5182700
2024-02-05,170.55,171.58,169.05,170.92,5142700
2024-02-02,171.24001,171.96001,170.10001,170.97,5307700
2024-02-01,168.53,171.8,167.17,171.7,4920800
2024-01-31,169.96001,170.38,167.88,168.53,5769200
2024-01-30,167.67,169.7,167.32001,169.62,4804200
2024-01-29,167.53,168.7,167.39,168.14999,5713600
2024-01-26,166.60001,168.03,166.60001,167.86,4849000
2024-01-25,165.81,166.60001,164.94,166.56,5373800
2024-01-24,167.64,167.74001,165.52,165.60001,4984700
2024-01-23,164.56,167.92999,164.36,167.64,4932700
2024-01-22,165.96001,166.71001,165.02,165.11,5697400
2024-01-19,167.14,167.24001,165.57001,165.78,6506700
2024-01-18,165.47,167.28,164.99001,167.17,4709400
2024-01-17,165.99001,166.73,165.44,166.44,4392300
2024-01-16,167.27,167.52,165.19,166.17,4576600
2024-01-12,166.34,167.38,165.57001,167.27,3546100
2024-01-11,167.14,167.14,164.82001,166.13,4800700
2024-01-10,166.59,167.96001,166.2,166.92,4394900
2024-01-09,167.78999,167.89,165.92999,167.17,6268800
2024-01-08,168.94,169.73,167.78999,169.11,5735600
2024-01-05,171.57001,171.57001,167.56,168.94,5251100
2024-01-04,171.61,173.53,170.58,171.47,6283200
2024-01-03,175.0,175.2,172.7,172.95,5588200
2024-01-02,169.52,172.99001,169.19,172.91,5743100
2023-12-29,169.34,170.07001,169.17,169.84,3291500
2023-12-28,169.39999,169.53999,168.7,169.39,2911100
2023-12-27,168.89999,169.49001,168.36,169.39999,3502500
2023-12-26,167.64999,169.42,167.25,168.86,2779200
2023-12-22,167.36,168.17,166.86,167.67999,3030100
2023-12-21,166.5,167.10001,165.39,166.97,4374000
2023-12-20,166.50999,167.47,165.67,165.69,5157800
2023-12-19,167.94,168.83,167.31,167.95,4855900
2023-12-18,168.06,170.25,167.41,168.91,5439500
